 -1.091, -0.076, 0.673, 0.756, 0.995, 1.164, 0.657, 0.394, 0.359, -0.068, 0.059, 0.041, -0.452, -0.424, -0.347, -0.054, -0.008, -0.022, 0.300, 0.591, 0.776, 0.807, 0.518, 0.521, 0.586, 0.310, 0.387, 0.353, 0.414, 0.652, 0.369,
 -1.409, -0.373, 0.471, 1.237, 1.345, 1.132, 1.283, 0.812, 0.254, 0.233, 0.094, -0.222, -0.334, -0.322, -0.347, -0.288, -0.268, -0.096, 0.094, 0.091, -0.039, -0.072, 0.253, 0.389, 0.247, 0.235, 0.095, 0.061, 0.359, -0.277, -0.187,
 -0.662, 0.333, 1.434, 1.657, 1.693, 1.905, 1.558, 1.606, 1.290, 0.714, 0.320, 0.497, 0.344, 0.047, 0.466, 0.463, 0.374, 0.319, 0.379, 0.576, 0.532, 0.408, 0.460, 0.889, 1.015, 0.958, 1.022, 1.071, 0.866, 0.603, 1.194,
 -0.915, 0.090, 0.971, 1.184, 1.085, 1.256, 0.972, 0.822, 0.930, 0.563, 0.008, -0.444, -0.376, -0.185, -0.307, -0.275, -0.202, -0.149, -0.049, 0.012, -0.010, 0.203, 0.450, 0.438, 0.753, 0.777, 0.783, 0.749, 0.488, 0.856, 0.939,
 -1.180, -0.169, 0.836, 1.671, 1.427, 0.762, 1.173, 1.482, 1.191, 2.454, 2.132, 0.815, 0.866, 0.478, 0.511, 0.440, 0.656, 0.891, 0.527, 0.779, 0.913, 0.628, 0.884, 0.662, 0.793, 1.229, 1.219, 1.586, 1.396, 1.447, 1.655,
 -2.432, -1.423, -0.399, 0.604, 1.393, 1.526, 1.203, 1.385, 1.512, 1.267, 2.330, 2.216, 0.946, 0.829, 0.880, 1.228, 1.303, 1.089, 1.049, 0.995, 1.151, 1.326, -0.632, -0.593, 1.475, 1.698, 1.750, 1.672, 2.052, 1.818, 0.664,
 -2.721, -1.712, -0.691, 0.323, 1.134, 1.217, 0.393, 0.169, 0.868, 0.358, 0.172, 0.345, 0.483, 0.009, -0.716, 0.097, 0.264, 0.055, 0.278, 0.558, 1.337, 0.940, 0.077, 0.290, 0.029, 0.029, 0.109, 0.096, 1.005, 1.269, 0.333,
 -3.953, -2.933, -1.904, -0.900, 0.089, 1.018, 1.607, 1.201, 0.841, 1.431, 1.310, 1.172, 1.788, 1.606, 1.579, 1.519, 1.369, 1.774, 1.432, 1.250, 1.447, 1.233, 1.563, 1.488, 1.181, 1.298, 1.291, 2.271, 2.856, 2.096, 1.098,
 -6.238, -5.232, -4.199, -3.195, -2.195, -1.177, -0.172, 0.895, 1.069, 0.717, 0.822, 0.993, 1.234, 1.210, 0.893, 0.684, 0.771, 0.782, 0.808, 1.075, 1.255, 1.298, 0.913, 0.732, 1.206, 1.467, 2.017, 1.944, 0.802, -0.196, -1.187,
 -6.485, -5.466, -4.462, -3.452, -2.452, -1.464, -0.447, 0.545, 1.332, 1.067, 0.590, 0.635, 0.377, 0.248, 0.714, 1.309, 1.316, 1.124, 0.794, 0.525, 0.393, 0.072, 0.234, 0.735, 0.812, 0.374, -0.431, -1.456, -2.431, -3.406, -4.430,
 -11.733, -10.757, -9.771, -8.772, -7.755, -6.728, -5.715, -4.722, -3.734, -2.734, -1.766, -0.781, 0.269, 0.747, 0.685, 0.330, 0.021, 0.238, 0.422, 0.607, 0.573, 0.609, 1.308, 1.220, 0.214, -0.756, -1.738, -2.718, -3.711, -4.718, -5.718,
 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,
 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,
